nuts,year,column_name,column_type,type,ToKeep
DE4,2016,SHAPE_LEN,Real,,0
AT,2016,SL_FLAECHE_BRUTTO_HA,Real,off_area,1
AT,2016,SNAR_BEZEICHNUNG,String,original_name,1
AT,2016,SNAR_CODE,String,original_code,1
DE4,2016,SORTE,Integer64,,0
ITI1,2016,specie,String,original_name,1
BE3,2016,SURF_HA,Real,off_area,1
FR,2016,SURF_PARC,Real,off_area,1
EE,2016,taotleja_nimi,String,,0
EE,2016,taotleja_registrikood,String,,0
EE,2016,taotletud_kultuur,String,original_name,1
EE,2016,taotletud_maakasutus,String,,0
EE,2016,taotletud_toetus,String,,0
EE,2016,taotletud_toetus2,String,,0
EE,2016,taotlusaasta,Integer,,0
BE2,2016,UIDN,Integer64,off_id,1
ITI1,2016,uso,String,,0
ITI1,2016,UTE,Integer64,,0
ITI1,2016,varieta,String,,0
DK,2017,AFGKODE,Real,original_code,1
DK,2017,AFGROEDE,String,original_name,1
DE4,2017,AKTIVIERUN,Integer64,,0
BE2,2017,ALVID,Integer64,,0
IE,2017,ANC_IND,String,,0
ITI1,2017,Anno,Integer64,,0
ITI1,2017,AnnoImpian,Integer64,,0
DE4,2017,ANSAATJAHR,Integer64,,0
DE4,2017,ANTRAGSJAH,Integer64,,0
IE,2017,APP_HERD,String,,0
ITI1,2017,area,Integer64,off_area,1
ITI1,2017,Beneficiar,Integer64,,0
IE,2017,BOVIN_NITR,Real,,0
IE,2017,BOVIN_PHOS,Real,,0
PT,2017,C1,String,original_name,1
PT,2017,c10,String,,0
PT,2017,c11,String,,0
PT,2017,c12,String,,0
PT,2017,c2,String,,0
PT,2017,c3,String,,0
PT,2017,c4,String,,0
PT,2017,c5,String,,0
PT,2017,c6,String,,0
PT,2017,c7,String,,0
PT,2017,c8,String,,0
PT,2017,c9,String,,0
BE3,2017,CAMPAGNE,String,,0
ES51,2017,campanya,Real,,0
NL,2017,CAT_GEWASCATEGORIE, String ,group_code,1
IE,2017,CLAIM_AREA,Real,,0
ITI1,2017,CodColtiva,Integer64,,0
ITI1,2017,CodDestina,String,,0
FR,2017,CODE_CULTU,String,original_code,1
FR,2017,CODE_GROUP,String,group_code,1
ITI1,2017,CodQualita,String,,0
ITI1,2017,CodUso,String,,0
ITI1,2017,ColturaPri,Integer64,,0
IE,2017,COM_DEN,Integer64,,0
IE,2017,COM_IND,String,,0
IE,2017,COM_NUM,Integer64,,0
ES51,2017,comarca,String,,0
ITI1,2017,comune,String,,0
IE,2017,CROP_DESC,String,original_name,1
BE3,2017,CULT_COD,String,original_code,1
BE3,2017,CULT_NOM,String,original_name,1
ES51,2017,cultiu,String,original_name,1
FR,2017,CULTURE_D1,String,,0
FR,2017,CULTURE_D2,String,,0
IE,2017,CUST_ID,Real,,0
IE,2017,CUST_NIT_A,Real,,0
IE,2017,CUST_NPH,String,,0
DK,2017,CVR,String,,0
ITI1,2017,DataFineOc,String,,0
ITI1,2017,DataImpian,String,,0
ITI1,2017,DataInizio,String,,0
IE,2017,DEROGATION,Real,,0
ITI1,2017,DescColtiv,String,,0
ITI1,2017,destinazio,String,,0
IE,2017,DIGIT_AREA,Real,off_area,1
IE,2017,EFA_SEC_CR,String,,0
IE,2017,ESPG_IND,String,,0
IE,2017,EXP_NITRAT,Real,,0
IE,2017,EXP_PHOSPH,Real,,0
IE,2017,EXTRCT_DAT,String,,0
IE,2017,FAD,Real,,0
IE,2017,FAD_REASON,String,,0
AT,2017,FART_ID,Real,,0
DE4,2017,FLIK,String,,0
AT,2017,FS_KENNUNG,Real,off_id,1
DK,2017,GB,Real,,0
DK,2017,GBANMELDT,Integer64,,0
AT,2017,GEO_ID,Real,,0
AT,2017,GEO_PART_KEY,Real,,0
AT,2017,GEO_TYPE,String,,0
NL,2017,GEOMETRIE_Area, Real ,,0
NL,2017,GEOMETRIE_Length, Real ,,0
BE2,2017,GEWASGROEP,String,group_name,1
IE,2017,GLAS_IND,String,,0
AT,2017,GML_GEOM,Binary,,0
AT,2017,GML_ID,String,,0
AT,2017,GML_IDENTIFIER,String,,0
AT,2017,GML_LENGTH,Real,,0
DE4,2017,GROESSE,Real,off_area,1
BE3,2017,GROUPE_CUL,String,group_name,1
ES51,2017,grup,String,group_name,1
NL,2017,GWS_GEWAS, String ,original_name,1
NL,2017,GWS_GEWASCODE, String ,original_code,1
ES51,2017,ha,Real,off_area,1
IE,2017,HERD_NO,String,,0
BE2,2017,HFDTLT,String,original_code,1
DE4,2017,ID,Integer64,off_id,1
DK,2017,ID,Integer64,off_id,1
ES51,2017,id_mun,String,off_id,1
FR,2017,ID_PARCEL,String,off_id,1
ITI1,2017,IDCatastal,String,,0
ITI1,2017,IdEpocaDiS,Integer64,,0
ITI1,2017,IDFormaAll,Integer64,,0
ITI1,2017,IdPotenzia,Integer64,,0
ITI1,2017,IdRotazion,Integer64,,0
ITI1,2017,IDSpecie,Integer64,original_code,1
ITI1,2017,IdTipoIrri,Integer64,,0
ITI1,2017,IdTipoMa_1,Integer64,,0
ITI1,2017,IdTipoMant,Integer64,,0
ITI1,2017,IdTipoProt,Integer64,,0
ITI1,2017,IdTipoSemi,Integer64,,0
ITI1,2017,IDVarieta,Integer64,,0
DK,2017,IMK_AREAL,Real,off_area,1
IE,2017,IMP_NITRAT,Real,,0
IE,2017,IMP_PHOSPH,Real,,0
IE,2017,IND_ACREAG,Real,,0
IE,2017,IND_NPH,Real,,0
AT,2017,INSPIRE_ID,String,,0
ITI1,2017,Irriguo,Integer64,,0
DK,2017,JOURNALNR,String,,0
DE4,2017,LAND,String,,0
FR,2017,layer,String,,0
ITI1,2017,layer,String,,0
PT,2017,layer,String,,0
BE2,2017,LBLHFDTLT,String,original_name,1
BE2,2017,LBLPM,String,,0
BE2,2017,LENGTE,Real,,0
AT,2017,LOG_PKEY,Real,,0
DK,2017,MARKNR,String,,0
IE,2017,MD,Real,,0
IE,2017,MD_REASON,String,,0
IE,2017,MEA,Real,,0
ES51,2017,municipi,String,,0
EE,2017,niitmise_tuvast_ajavahemik,String,,0
EE,2017,niitmise_tuvastamise_staatus,String,,0
IE,2017,NO_OF_HERD,String,,0
ITI1,2017,NrPiante,Integer64,,0
DE4,2017,NUTZCODE,Integer64,original_code,1
ITI1,2017,objectid,Integer64,off_id,1
PT,2017,OBJECTID,Integer64,,0
DE4,2017,OEVFTYPCOD,Integer64,,0
BE2,2017,OIDN,Integer64,,0
BE2,2017,OPPERVL,Real,off_area,1
IE,2017,ORG_STATUS,String,,0
PT,2017,OSA_ID,Integer64,off_id,1
PT,2017,PAR_NUM,String,,0
IE,2017,PARC_LAB,String,,0
IE,2017,PARTNER_NO,String,,0
FR,2017,path,String,,0
ITI1,2017,path,String,,0
PT,2017,path,String,,0
EE,2017,pindala_ha,Real,off_area,1
BE2,2017,PM,String,,0
EE,2017,pollu_id,Integer,off_id,1
ITI1,2017,Produttivo,Integer64,,0
ES51,2017,provincia,String,,0
ITI1,2017,PROVINCIA,String,,0
ITI1,2017,qualita,String,,0
IE,2017,RESTRICT_N,String,,0
IE,2017,RESTRICT_P,Real,,0
IE,2017,SCHYEAR,Real,,0
